date,title,jurisdiction,proceeding_docket,filing_type,file_path
2024-11-22,CA Charging Interoperability and Collaboration Yard Pre-Solicitation Comments,California,,Comments,filings/2024-11-22_CA-Charging-Interoperability-and-Collaboration-Yard-Pre.pdf
2024-12-06,CA High-DER Future Grid Study Report Opening Comments,California,,Comments,filings/2024-12-06_CA-High-DER-Future-Grid-Study-Report-Opening-Comments.pdf
2024-12-10,NY EV Queue Management Proposal Joint IREC-EDF-VGIC Comments,New York,E-0138,Comments,filings/2024-12-10_NY-EV-Queue-Management-Proposal-Joint-IREC-EDF-VGIC-Comments.pdf
2024-12-20,CA Flexible Demand Appliance Standards EVSE RFI Response,California,,Response,filings/2024-12-20_CA-Flexible-Demand-Appliance-Standards-EVSE-RFI-Response.pdf
2025-01-07,CA Informal Comments on Outstanding V2G Interconnection Barriers,California,,Informal Comments,filings/2025-01-07_CA-Informal-Comments-on-Outstanding-V2G-Interconnection.pdf
2025-01-08,CA Opening Testimony on SCE Vehicle-to-Grid Resource Proposal,California,A.24-03-019,Testimony,filings/2025-01-08_CA-Opening-Testimony-on-SCE-Vehicle-to-Grid-Resource.pdf
2025-01-10,CA High-DER Future Grid Study Report Reply Comments,California,,Reply Comments,filings/2025-01-10_CA-High-DER-Future-Grid-Study-Report-Reply-Comments.pdf
2025-01-16,NY Modified EV Queue Management Proposal Comments,New York,E-0138,Comments,filings/2025-01-16_NY-Modified-EV-Queue-Management-Proposal-Comments.pdf
2025-01-17,CA SB 846 Load Shift Goal Informal Comments,California,,Informal Comments,filings/2025-01-17_CA-SB-846-Load-Shift-Goal-Informal-Comments.pdf
2025-01-28,CA Demand Side Grid Support Modified 4th Edition Guidelines Comments,California,,Comments,filings/2025-01-28_CA-Demand-Side-Grid-Support-Modified-4th-Edition-Guidelines.pdf
2025-02-07,CA Zero-Emission Vehicle Infrastructure Plan,California,,Other/Unclear,filings/2025-02-07_CA-Zero-Emission-Vehicle-Infrastructure-Plan.pdf
2025-02-10,MA EV Program Modification Post-Hearing Comments,Massachusetts,,Comments,filings/2025-02-10_MA-EV-Program-Modification-Post-Hearing-Comments.pdf
2025-02-13,CA Integrated Energy Policy Report 2025 Draft Scoping Order Comments,California,,Comments,filings/2025-02-13_CA-Integrated-Energy-Policy-Report-2025-Draft-Scoping-Order.pdf
2025-03-07,CA PG&E Commercial EV Real-Time Pricing Rate Termination Response,California,,Response,filings/2025-03-07_CA-PG-E-Commercial-EV-Real-Time-Pricing-Rate-Termination.pdf
2025-03-13,CA Near-Term Flexible Service Connection Framework Comments,California,,Comments,filings/2025-03-13_CA-Near-Term-Flexible-Service-Connection-Framework-Comments.pdf
2025-03-13,CA Long-Term Flexible Service Connection Framework Comments,California,R.21-06-017,Comments,filings/2025-03-13_CA-Long-Term-Flexible-Service-Connection-Framework-Comments.pdf
2025-03-18,CA 2024-2026 Integrated Resource Planning Inputs & Assumptions Comments,California,,Comments,filings/2025-03-18_CA-2024-2026-Integrated-Resource-Planning-Inputs.pdf
2025-03-21,CA Demand Side Grid Support Option 4 Comments,California,,Comments,filings/2025-03-21_CA-Demand-Side-Grid-Support-Option-4-Comments.pdf
2025-03-27,CA Near-Term Flexible Service Connection Framework Reply Comments,California,R.21-06-017,Reply Comments,filings/2025-03-27_CA-Near-Term-Flexible-Service-Connection-Framework-Reply.pdf
2025-03-28,MD Utility Managed Charging Programs Comments,Maryland,Case No. 9478,Comments,filings/2025-03-28_MD-Utility-Managed-Charging-Programs-Comments.pdf
2025-04-01,NY Demand Charge Rebate and Commercial Managed Charging Program Comments,New York,E-0236,Comments,filings/2025-04-01_NY-Demand-Charge-Rebate-and-Commercial-Managed-Charging.pdf
2025-05-19,CA SCE VGI Program Proposal Advice Letter Response,California,Advice Letter 5536-E,Response,filings/2025-05-19_CA-SCE-VGI-Program-Proposal-Advice-Letter-Response.pdf
2025-05-27,CA LCFS Holdback Funds Implementation Guidelines Advice Letter Response,California,Advice Letter 4655-E,Response,filings/2025-05-27_CA-LCFS-Holdback-Funds-Implementation-Guidelines-Advice.pdf
2025-05-28,NY Load Management Technology Incentive Program Comments,New York,E-0236,Comments,filings/2025-05-28_NY-Load-Management-Technology-Incentive-Program-Comments.pdf
2025-06-03,CA Coalition Letter in Support of DSGS and DEBA,California,,Letter,filings/2025-06-03_CA-Coalition-Letter-in-Support-of-DSGS-and-DEBA.pdf
2025-07-07,NY Residential Managed Charging Program Petition Comments,New York,E-0138,Petition,filings/2025-07-07_NY-Residential-Managed-Charging-Program-Petition-Comments.pdf
2025-07-15,NY Grid of the Future Potential Study Comments,New York,E-0165,Comments,filings/2025-07-15_NY-Grid-of-the-Future-Potential-Study-Comments.pdf
2025-07-21,CA Joint Request to Commissioners to Open New Demand Response Proceeding,California,,Response,filings/2025-07-21_CA-Joint-Request-to-Commissioners-to-Open-New-Demand.pdf
2025-08-01,CA Integrated Resource Planning Scope Comments,California,,Comments,filings/2025-08-01_CA-Integrated-Resource-Planning-Scope-Comments.pdf
2025-08-07,CA V2G AC Interconnection Pathways Expansion Response,California,Advice Letter 5585-E,Response,filings/2025-08-07_CA-V2G-AC-Interconnection-Pathways-Expansion-Response.pdf
2025-08-08,TX V2G in Draft DER Interconnection Rules Comments,Texas,,Comments,filings/2025-08-08_TX-V2G-in-Draft-DER-Interconnection-Rules-Comments.pdf
2025-08-14,CA Dynamic Rates Guidelines Proposed Decision Comments,California,,Comments,filings/2025-08-14_CA-Dynamic-Rates-Guidelines-Proposed-Decision-Comments.pdf
2025-08-19,CA Follow-On Coalition Letter in Support of DSGS and DEBA,California,,Letter,filings/2025-08-19_CA-Follow-On-Coalition-Letter-in-Support-of-DSGS-and-DEBA.pdf
2025-08-19,CA Dynamic Rates Guidelines Proposed Decision Reply Comments,California,,Reply Comments,filings/2025-08-19_CA-Dynamic-Rates-Guidelines-Proposed-Decision-Reply-Comments.pdf
2025-08-21,CA SCE Dynamic Rate Pilot Funding Request Protest,California,Advice Letter 5596-E,Protest,filings/2025-08-21_CA-SCE-Dynamic-Rate-Pilot-Funding-Request-Protest.pdf
2025-08-22,CA SCE Dynamic Rate Application Motion for Party Status,California,,Motion,filings/2025-08-22_CA-SCE-Dynamic-Rate-Application-Motion-for-Party-Status.pdf
2025-08-25,CA Integrated Energy Policy Report Interconnection and Energization Comments,California,,Comments,filings/2025-08-25_CA-Integrated-Energy-Policy-Report-Interconnection-and.pdf
2025-08-26,CA PG&E V2X Microgrids Pilot Modification Response,California,Advice Letter 7378-E-A,Response,filings/2025-08-26_CA-PG-E-V2X-Microgrids-Pilot-Modification-Response.pdf
2025-08-28,MD Virtual Power Plant Pilot Application Comments,Maryland,Case No. 9761,Comments,filings/2025-08-28_MD-Virtual-Power-Plant-Pilot-Application-Comments.pdf
2025-09-05,CA SCE Joint Settlement Agreement for Vehicle-to-Grid Export Rate,California,,Settlement/Agreement,filings/2025-09-05_CA-SCE-Joint-Settlement-Agreement-for-Vehicle-to-Grid.pdf
